id,variant,heuristic,cost
9,MMAS,learned,5.286827087402344
9,MMAS,classic,8.83639144897461
10,AS,learned,4.914379119873047
10,AS,classic,7.052952289581299
10,Elitist,learned,5.116786479949951
10,Elitist,classic,8.230173110961914
10,MMAS,learned,5.482424259185791
10,MMAS,classic,8.247596740722656
11,AS,learned,4.899829864501953
11,AS,classic,6.467129707336426
11,Elitist,learned,5.029397487640381
11,Elitist,classic,7.704673767089844
11,MMAS,learned,4.867325782775879
11,MMAS,classic,7.2317304611206055
12,AS,learned,4.756550312042236
12,AS,classic,7.799165725708008
12,Elitist,learned,4.6211934089660645
12,Elitist,classic,7.07974100112915
12,MMAS,learned,4.519824504852295
12,MMAS,classic,7.387295246124268
13,AS,learned,4.844169616699219
13,AS,classic,7.717123031616211
13,Elitist,learned,4.7294769287109375
13,Elitist,classic,8.056478500366211
13,MMAS,learned,4.698612213134766
13,MMAS,classic,7.667755126953125
14,AS,learned,4.886414527893066
14,AS,classic,7.329610824584961
14,Elitist,learned,5.068570137023926
14,Elitist,classic,7.13492488861084
14,MMAS,learned,4.822630882263184
14,MMAS,classic,8.39578628540039
15,AS,learned,4.214740753173828
15,AS,classic,8.140096664428711
15,Elitist,learned,4.391697406768799
15,Elitist,classic,8.117888450622559
15,MMAS,learned,4.354628562927246
15,MMAS,classic,7.710092544555664
16,AS,learned,4.3402934074401855
16,AS,classic,7.411223888397217
16,Elitist,learned,4.775300025939941
16,Elitist,classic,8.111533164978027
16,MMAS,learned,4.3402934074401855
16,MMAS,classic,8.193060874938965
17,AS,learned,4.567608833312988
17,AS,classic,6.934195041656494
17,Elitist,learned,4.247693061828613
17,Elitist,classic,7.034626007080078
17,MMAS,learned,4.247693061828613
17,MMAS,classic,6.812666893005371
18,AS,learned,4.678523063659668
18,AS,classic,7.438967227935791
18,Elitist,learned,4.8550310134887695
18,Elitist,classic,6.509774208068848
18,MMAS,learned,4.970015525817871
18,MMAS,classic,7.82219123840332
19,AS,learned,5.366861343383789
19,AS,classic,8.815566062927246
19,Elitist,learned,5.112923622131348
19,Elitist,classic,8.159188270568848
19,MMAS,learned,5.279634952545166
19,MMAS,classic,8.466014862060547
20,AS,learned,4.758543014526367
20,AS,classic,7.357680797576904
20,Elitist,learned,4.740823268890381
20,Elitist,classic,8.322936058044434
20,MMAS,learned,4.67009162902832
20,MMAS,classic,7.748812198638916
21,AS,learned,4.692827224731445
21,AS,classic,7.480576515197754
21,Elitist,learned,4.588583946228027
21,Elitist,classic,8.430435180664062
21,MMAS,learned,4.669512748718262
21,MMAS,classic,8.491580963134766
22,AS,learned,4.265897750854492
22,AS,classic,6.926068305969238
22,Elitist,learned,4.418826580047607
22,Elitist,classic,7.013692855834961
22,MMAS,learned,4.437660217285156
22,MMAS,classic,6.494841575622559
23,AS,learned,5.032062530517578
23,AS,classic,8.451924324035645
23,Elitist,learned,4.886229991912842
23,Elitist,classic,9.032272338867188
23,MMAS,learned,5.093288421630859
23,MMAS,classic,8.544465065002441
24,AS,learned,4.770145416259766
24,AS,classic,8.095564842224121
24,Elitist,learned,4.733136177062988
24,Elitist,classic,9.157048225402832
24,MMAS,learned,4.724440574645996
24,MMAS,classic,8.443081855773926
25,AS,learned,5.051226615905762
25,AS,classic,9.48040771484375
25,Elitist,learned,5.360593795776367
25,Elitist,classic,8.523465156555176
25,MMAS,learned,5.4509735107421875
25,MMAS,classic,8.614062309265137
26,AS,learned,4.916945457458496
26,AS,classic,8.39908218383789
26,Elitist,learned,4.349221229553223
26,Elitist,classic,7.759756088256836
26,MMAS,learned,4.268747329711914
26,MMAS,classic,8.942310333251953
27,AS,learned,4.839878082275391
27,AS,classic,8.268409729003906
27,Elitist,learned,5.183218002319336
27,Elitist,classic,8.772151947021484
27,MMAS,learned,5.05877161026001
27,MMAS,classic,8.610127449035645
28,AS,learned,4.903665065765381
28,AS,classic,7.314403533935547
28,Elitist,learned,4.853176116943359
28,Elitist,classic,7.437920093536377
28,MMAS,learned,4.942007064819336
28,MMAS,classic,7.3393354415893555
29,AS,learned,4.547886848449707
29,AS,classic,7.849920272827148
29,Elitist,learned,4.602912425994873
29,Elitist,classic,7.752265453338623
29,MMAS,learned,4.593254566192627
29,MMAS,classic,7.747593879699707
30,AS,learned,4.688902854919434
30,AS,classic,7.803216934204102
30,Elitist,learned,4.590283393859863
